Radiation,Cost
0,0
0,0
0,0
0,0
0,0
86.45,33.37957
288.62,9.998142
433.05,6.663581
608.88,4.739298
677.33,4.260351
680.52,4.240381
615.08,4.691526
486.77,5.928188
309.65,9.319115
121.9,23.67239
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
80.83,35.70041
272.95,10.57213
453,6.370119
587.3,4.913441
655.5,4.402233
657.35,4.389844
592.62,4.869333
466.08,6.191349
292.67,9.859787
104.65,27.57443
3.6,801.5733
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
52.1,55.38702
179.73,16.05555
322.3,8.953347
445.05,6.483909
613.25,4.705526
595.62,4.844807
526.25,5.483447
404.02,7.142379
243.27,11.86198
81.77,35.29001
3.27,882.466
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
45.5,63.42118
160.9,17.93452
291.48,9.900041
403.8,7.14627
480.33,6.007669
513.45,5.620146
465.9,6.193741
358.83,8.041869
210.4,13.71513
73.38,39.32494
3.4,848.7247
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
58.5,49.32759
216.88,13.30535
383.83,7.518078
523.67,5.510462
661.12,4.364811
672.27,4.292418
614,4.699778
490,5.88911
317.73,9.082126
124.65,23.15013
5.2,554.9354
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
92.6,31.16268
286.55,10.07037
465.23,6.202661
599.02,4.817308
670.15,4.305997
670.12,4.30619
606.92,4.754603
484.33,5.958053
315.52,9.14574
124.67,23.14642
5.48,526.581
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
89.7,32.17017
284.48,10.14364
467.6,6.171223
605.3,4.767328
683.1,4.224365
692.3,4.168227
630.9,4.573885
505.62,5.707179
330.45,8.732528
131.55,21.93587
6.17,467.6927
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
93.35,30.91231
286.95,10.05633
465.02,6.205462
597.05,4.833203
647.48,4.456761
637.75,4.524757
572.48,5.040637
454.98,6.342397
290.77,9.924214
110.45,26.12643
5.9,489.0956
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
83.42,34.59199
273.5,10.55087
459.02,6.286575
598.25,4.823508
677.95,4.256455
689.05,4.187887
631.58,4.56896
508.9,5.670395
335.8,8.5934
137.58,20.97444
7.23,399.1236
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
